hash,createDB,sizeResult,buildTime
ee37fb88c7e900cde431c02cf5b820dfb33edf72e2e6e73fbcaca4aaa5af129014ed217f179ca65e6fedc00c450746df4227588c8c24196650775e8fe156a5c2,1,142,0:00:14.070688_0
a26f8c2f2b1fff75eac49699070189b4833ef51735d0444b6f6147b2c96382fe57553763d5e45b8e1be4376fcdad160be9bc0d9a0214ad6ecdbf5e33b9f1eafa,1,142,0:01:00.400540_0
78c9b45d39586c5273007b81831eb28b755c2d0b7c2fa7d8c93bd32150e5698b0dc6518ec8561191426e1236993d0e43bbc3b71537af64e739194a69fbaec9bf,1,142,0:00:28.545356_0
22891f6731365049d6abb64eff8226cb67ceef2eee32f3b06cc83de478a6366c5fb8af4c72e1934ea30c3fa70cb3a7ca1062f632d0e9d35c8318be39f12d1228,1,142,0:00:15.855400_0
8c6c6dd66dc13229b7ed2f59ffa80a7db378d8e4efb688e6d7a43ab7dee55468acc03577cd4ab74361db65e0533f2750672b7de6fce031cd4a86f2d18e298a76,1,142,0:00:12.220812_0
d9b290696e30695b63d5e124cb2ae484c3c17b9bfa7f94f0d8207ae1a3211e59fce38ac37108e2ee7abd30fd3f1a581704b0155c8fda95013e7a918d15282177,1,142,0:00:21.630154_0
a0a31cd5812a5bbc0db5196a1c4e567e3693d2e269a7cb7a86790620f62e5f82ad64c6a18215cc5fe42756cbe1787ffdeaf330e628fa5f09ce35ef627a01b5d9,1,142,0:00:13.770493_0
c8f94b728c2d0c5a70df51cd00f8dd88be1d1ed003c0832bf8e39503849c31698580d7ec4079f8271f467643158fd1e76c96ad511fa6f3bc2755da18e3c9b998,1,142,0:00:12.951760_0
6987e0625908d17752ac352dce8490cdc6487aba200e675afe1c394788ce28639483b15cfce1696f10e97451091c012a5a176080a2d7aa3bd46c11e0d04d1259,1,142,0:00:18.507139_0
b55451e7b7bf3a4ca38d8c3a225d061d6b3b027ad62d2fe59b855a1bad47440c8336539daa781a7ad1780050f092403d3b5e7bf2a6c316e5d1eb7c9c69b479de,1,142,0:00:16.986507_0
563b505a203f1ad98f0b0153a4e9010c3f6200d4fcf3e60da25d67a512f725bcd9b29c5e2b06e2316e0f958c2232a52ed94d384ea4353ab35f1ea9e55c5443b7,1,142,0:00:11.629622_0
