"ID of deserializeCall","deserializeCall","URL for deserializeCall","col1"
10352935,"call to method DeserializeObject","file:///tmp/GitClone/src/SmartSql.Cache.Redis/RedisCacheProvider.cs:71:25:71:84","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
10379948,"call to method DeserializeObject<SyncRequest>","file:///tmp/GitClone/src/SmartSql.InvokeSync.Kafka/KafkaSubscriber.cs:47:31:47:86","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
10383489,"call to method DeserializeObject<SyncRequest>","file:///tmp/GitClone/src/SmartSql.InvokeSync.RabbitMQ/RabbitMQSubscriber.cs:51:31:51:81","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
10448527,"call to method DeserializeObject","file:///tmp/GitClone/src/SmartSql.TypeHandler/JsonTypeHandler`1.cs:56:31:56:104","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
10448658,"call to method Deserialize","file:///tmp/GitClone/src/SmartSql.TypeHandler/XmlSerializeUtil.cs:16:24:16:55","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
