"ID of deserializeCall","deserializeCall","URL for deserializeCall","col1"
4549876,"call to method DeserializeObject<String[]>","file:///tmp/GitClone/src/AspNetIdentity/host/Quickstart/Diagnostics/DiagnosticsViewModel.cs:25:27:25:72","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
4622526,"call to method DeserializeObject<String[]>","file:///tmp/GitClone/src/EntityFramework/host/Quickstart/Diagnostics/DiagnosticsViewModel.cs:25:27:25:72","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
4785167,"call to method DeserializeObject<String[]>","file:///tmp/GitClone/src/IdentityServer4/host/Quickstart/Diagnostics/DiagnosticsViewModel.cs:25:27:25:72","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
5156773,"call to method DeserializeObject<Dictionary<String,Object>>","file:///tmp/GitClone/src/IdentityServer4/test/IdentityServer.IntegrationTests/Clients/ClientAssertionClient.cs:222:30:223:65","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
5161362,"call to method DeserializeObject<Dictionary<String,Object>>","file:///tmp/GitClone/src/IdentityServer4/test/IdentityServer.IntegrationTests/Clients/ClientCredentialsClient.cs:453:30:454:65","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
5164777,"call to method DeserializeObject<Dictionary<String,Object>>","file:///tmp/GitClone/src/IdentityServer4/test/IdentityServer.IntegrationTests/Clients/CustomTokenResponseClients.cs:290:30:291:65","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
5169860,"call to method DeserializeObject<Dictionary<String,Object>>","file:///tmp/GitClone/src/IdentityServer4/test/IdentityServer.IntegrationTests/Clients/ExtensionGrantClient.cs:591:30:592:65","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
5174350,"call to method DeserializeObject<Dictionary<String,Object>>","file:///tmp/GitClone/src/IdentityServer4/test/IdentityServer.IntegrationTests/Clients/ResourceOwnerClient.cs:275:30:276:65","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
5180849,"call to method DeserializeObject<Dictionary<String,Object>>","file:///tmp/GitClone/src/IdentityServer4/test/IdentityServer.IntegrationTests/Clients/UserInfoClient.cs:206:30:207:65","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
5208387,"call to method DeserializeObject","file:///tmp/GitClone/src/IdentityServer4/test/IdentityServer.IntegrationTests/Endpoints/Authorize/JwtRequestAuthorizeTests.cs:529:28:529:125","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
5208443,"call to method DeserializeObject<String[]>","file:///tmp/GitClone/src/IdentityServer4/test/IdentityServer.IntegrationTests/Endpoints/Authorize/JwtRequestAuthorizeTests.cs:532:28:532:116","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
5208532,"call to method DeserializeObject","file:///tmp/GitClone/src/IdentityServer4/test/IdentityServer.IntegrationTests/Endpoints/Authorize/JwtRequestAuthorizeTests.cs:538:24:538:130","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
5208585,"call to method DeserializeObject<String[]>","file:///tmp/GitClone/src/IdentityServer4/test/IdentityServer.IntegrationTests/Endpoints/Authorize/JwtRequestAuthorizeTests.cs:541:24:541:112","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
5217046,"call to method DeserializeObject<T>","file:///tmp/GitClone/src/IdentityServer4/test/IdentityServer.IntegrationTests/Endpoints/DeviceAuthorization/DeviceAuthorizationTests.cs:138:24:138:67","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
5438072,"call to method DeserializeObject<T>","file:///tmp/GitClone/src/Storage/src/Stores/Serialization/PersistentGrantSerializer.cs:46:20:46:68","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
