"ID of deserializeCall","deserializeCall","URL for deserializeCall","col1"
3227991,"call to method DeserializeObject<ExpandoObject>","file:///tmp/GitClone/FakeServer/Controllers/AsyncController.cs:109:34:109:99","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3230924,"call to method DeserializeObject<ExpandoObject>","file:///tmp/GitClone/FakeServer/Controllers/DynamicController.cs:274:34:274:99","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3231176,"call to method DeserializeObject<ExpandoObject>","file:///tmp/GitClone/FakeServer/Controllers/DynamicController.cs:367:30:367:95","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3231521,"call to method DeserializeObject<ExpandoObject>","file:///tmp/GitClone/FakeServer/Controllers/DynamicController.cs:496:34:496:99","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3241907,"call to method DeserializeObject","file:///tmp/GitClone/FakeServer/GraphQL/GraphQLMiddleware.cs:120:28:120:62","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3261865,"call to method DeserializeObject<dynamic>","file:///tmp/GitClone/FakeServer.Test/DynamicControllerTests.cs:198:36:198:116","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3262108,"call to method DeserializeObject<dynamic>","file:///tmp/GitClone/FakeServer.Test/DynamicControllerTests.cs:223:32:223:112","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3262331,"call to method DeserializeObject<dynamic>","file:///tmp/GitClone/FakeServer.Test/DynamicControllerTests.cs:247:32:247:112","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3262574,"call to method DeserializeObject<dynamic>","file:///tmp/GitClone/FakeServer.Test/DynamicControllerTests.cs:272:32:272:112","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3264843,"call to method DeserializeObject<IEnumerable<String>>","file:///tmp/GitClone/FakeServer.Test/FakeServerSpecs.cs:42:31:42:122","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3264905,"call to method DeserializeObject<IEnumerable<JObject>>","file:///tmp/GitClone/FakeServer.Test/FakeServerSpecs.cs:52:25:52:117","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3265693,"call to method DeserializeObject<IEnumerable<JObject>>","file:///tmp/GitClone/FakeServer.Test/FakeServerSpecs.cs:145:25:145:117","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3265777,"call to method DeserializeObject<IEnumerable<JObject>>","file:///tmp/GitClone/FakeServer.Test/FakeServerSpecs.cs:156:25:156:117","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3265860,"call to method DeserializeObject<IEnumerable<JObject>>","file:///tmp/GitClone/FakeServer.Test/FakeServerSpecs.cs:167:25:167:117","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3265943,"call to method DeserializeObject<IEnumerable<JObject>>","file:///tmp/GitClone/FakeServer.Test/FakeServerSpecs.cs:178:25:178:117","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3266026,"call to method DeserializeObject<IEnumerable<JObject>>","file:///tmp/GitClone/FakeServer.Test/FakeServerSpecs.cs:189:25:189:117","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3266109,"call to method DeserializeObject<IEnumerable<JObject>>","file:///tmp/GitClone/FakeServer.Test/FakeServerSpecs.cs:200:25:200:117","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3266192,"call to method DeserializeObject<IEnumerable<JObject>>","file:///tmp/GitClone/FakeServer.Test/FakeServerSpecs.cs:211:25:211:117","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3266275,"call to method DeserializeObject<IEnumerable<JObject>>","file:///tmp/GitClone/FakeServer.Test/FakeServerSpecs.cs:222:25:222:117","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3266358,"call to method DeserializeObject<IEnumerable<JObject>>","file:///tmp/GitClone/FakeServer.Test/FakeServerSpecs.cs:233:25:233:117","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3266441,"call to method DeserializeObject<IEnumerable<JObject>>","file:///tmp/GitClone/FakeServer.Test/FakeServerSpecs.cs:244:25:244:117","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3266546,"call to method DeserializeObject<IEnumerable<JObject>>","file:///tmp/GitClone/FakeServer.Test/FakeServerSpecs.cs:284:25:284:117","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3266712,"call to method DeserializeObject<IEnumerable<JObject>>","file:///tmp/GitClone/FakeServer.Test/FakeServerSpecs.cs:299:25:299:117","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3266845,"call to method DeserializeObject<IEnumerable<JObject>>","file:///tmp/GitClone/FakeServer.Test/FakeServerSpecs.cs:314:25:314:117","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3267022,"call to method DeserializeObject<IEnumerable<JObject>>","file:///tmp/GitClone/FakeServer.Test/FakeServerSpecs.cs:332:25:332:117","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3267207,"call to method DeserializeObject<JObject>","file:///tmp/GitClone/FakeServer.Test/FakeServerSpecs.cs:348:24:348:103","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3267472,"call to method DeserializeObject<JArray>","file:///tmp/GitClone/FakeServer.Test/FakeServerSpecs.cs:391:28:391:106","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3267565,"call to method DeserializeObject<JArray>","file:///tmp/GitClone/FakeServer.Test/FakeServerSpecs.cs:400:28:400:106","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3267657,"call to method DeserializeObject<JArray>","file:///tmp/GitClone/FakeServer.Test/FakeServerSpecs.cs:409:30:409:108","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3267712,"call to method DeserializeObject<JArray>","file:///tmp/GitClone/FakeServer.Test/FakeServerSpecs.cs:417:28:417:106","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3267772,"call to method DeserializeObject<JArray>","file:///tmp/GitClone/FakeServer.Test/FakeServerSpecs.cs:425:28:425:106","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3267828,"call to method DeserializeObject<JArray>","file:///tmp/GitClone/FakeServer.Test/FakeServerSpecs.cs:433:28:433:106","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3267887,"call to method DeserializeObject<JArray>","file:///tmp/GitClone/FakeServer.Test/FakeServerSpecs.cs:441:28:441:106","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3267946,"call to method DeserializeObject<JArray>","file:///tmp/GitClone/FakeServer.Test/FakeServerSpecs.cs:449:28:449:106","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
