"ID of deserializeCall","deserializeCall","URL for deserializeCall","col1"
741308,"call to method DeserializeObject<BlueprintConfig>","file:///tmp/GitClone/Core/GameObjects/Abstracts/Blueprint.cs:43:26:43:110","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
741494,"call to method DeserializeObject<BlueprintConfig>","file:///tmp/GitClone/Core/GameObjects/Abstracts/Blueprint.cs:68:33:68:139","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
741681,"call to method DeserializeObject<BlueprintConfig>","file:///tmp/GitClone/Core/GameObjects/Abstracts/Blueprint.cs:71:26:71:110","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
767450,"call to method DeserializeObject<BlueprintConfig>","file:///tmp/GitClone/Core/UserInterface/Windows/FovWindow.cs:74:40:74:109","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
800177,"call to method DeserializeObject<BlueprintConfig>","file:///tmp/GitClone/Tests/TestObjects/Windows/FovWindowMock.cs:31:33:31:139","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
800224,"call to method DeserializeObject<BlueprintConfig>","file:///tmp/GitClone/Tests/TestObjects/Windows/FovWindowMock.cs:34:26:34:110","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
