"ID of deserializeCall","deserializeCall","URL for deserializeCall","col1"
9174331,"call to method DeserializeObject<SendMailResponse>","file:///tmp/GitClone/dms/Dms.Integration.Api/Services/MessagingService.cs:32:20:32:84","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
9174438,"call to method DeserializeObject<SendMailResponse>","file:///tmp/GitClone/dms/Dms.Integration.Api/Services/MessagingService.cs:45:20:45:84","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
9174544,"call to method DeserializeObject<MessagingResponse>","file:///tmp/GitClone/dms/Dms.Integration.Api/Services/MessagingService.cs:58:20:58:85","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
9307221,"call to method DeserializeObject<CustomerResponse>","file:///tmp/GitClone/src/Infrastructure/InternalsServices/InternalsService.cs:26:24:26:88","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
9307335,"call to method DeserializeObject<CustomerResponse>","file:///tmp/GitClone/src/Infrastructure/InternalsServices/InternalsService.cs:40:24:40:88","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
9307421,"call to method DeserializeObject<PersonResponse>","file:///tmp/GitClone/src/Infrastructure/InternalsServices/InternalsService.cs:49:24:49:86","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
9307523,"call to method DeserializeObject<CustomerResponse>","file:///tmp/GitClone/src/Infrastructure/InternalsServices/InternalsService.cs:59:24:59:88","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
9314117,"call to method DeserializeObject<AccessToken>","file:///tmp/GitClone/src/Infrastructure/SsoServices/SsoService.cs:34:33:34:91","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
9314233,"call to method DeserializeObject<AccessToken>","file:///tmp/GitClone/src/Infrastructure/SsoServices/SsoService.cs:47:32:47:90","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
9314822,"call to method DeserializeObject<AccessToken>","file:///tmp/GitClone/src/Infrastructure/SsoServices/UserService.cs:35:33:35:91","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
