"ID of deserializeCall","deserializeCall","URL for deserializeCall","col1"
7727249,"call to method DeserializeObject<T>","file:///tmp/GitClone/src/MigrationTools/Helpers/NewtonsoftHelpers.cs:10:20:10:82","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
7853143,"call to method DeserializeObject<TaskGroup>","file:///tmp/GitClone/src/MigrationTools.Clients.AzureDevops.Rest/Endpoints/AzureDevOpsEndpoint.cs:286:39:286:95","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
7853457,"call to method DeserializeObject<TaskGroup>","file:///tmp/GitClone/src/MigrationTools.Clients.AzureDevops.Rest/Endpoints/AzureDevOpsEndpoint.cs:331:48:331:104","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
7853764,"call to method DeserializeObject<DefinitionType>","file:///tmp/GitClone/src/MigrationTools.Clients.AzureDevops.Rest/Endpoints/AzureDevOpsEndpoint.cs:386:40:386:101","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
7854217,"call to method DeserializeObject<DefinitionType>","file:///tmp/GitClone/src/MigrationTools.Clients.AzureDevops.Rest/Endpoints/AzureDevOpsEndpoint.cs:457:40:457:101","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
7854816,"call to method DeserializeObject<WorkItemGroup>","file:///tmp/GitClone/src/MigrationTools.Clients.AzureDevops.Rest/Endpoints/AzureDevOpsEndpoint.cs:577:36:577:96","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
7855097,"call to method DeserializeObject<WorkItemControl>","file:///tmp/GitClone/src/MigrationTools.Clients.AzureDevops.Rest/Endpoints/AzureDevOpsEndpoint.cs:642:36:642:98","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
7909632,"call to method DeserializeObject<WorkItemData>","file:///tmp/GitClone/src/MigrationTools.Clients.FileSystem/Endpoints/FileSystemWorkItemEndpoint.cs:42:32:42:84","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
7910075,"call to method DeserializeObject<WorkItemData>","file:///tmp/GitClone/src/MigrationTools.Clients.FileSystem/Endpoints/FileSystemWorkItemQuery.cs:42:32:42:84","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
7941786,"call to method DeserializeObject","file:///tmp/GitClone/src/MigrationTools.Tests/Core/Configuration/SerializationTests.cs:48:35:52:14","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
