"ID of deserializeCall","deserializeCall","URL for deserializeCall","col1"
803600,"call to method DeserializeObject<RepositoryList>","file:///tmp/GitClone/Cmdline/Action/Repo.cs:169:20:169:70","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
881330,"call to method DeserializeObject<Config>","file:///tmp/GitClone/Core/Configuration/JsonConfiguration.cs:354:30:354:72","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
891074,"call to method DeserializeObject<CompatibleGameVersions>","file:///tmp/GitClone/Core/GameInstance.cs:168:65:168:141","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
891262,"call to method DeserializeObject<String[]>","file:///tmp/GitClone/Core/GameInstance.cs:208:23:208:99","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
898154,"call to method DeserializeObject<JBuilds>","file:///tmp/GitClone/Core/Games/KerbalSpaceProgram/GameVersionProviders/KspBuildMap.cs:99:28:99:79","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
911718,"call to method DeserializeObject","file:///tmp/GitClone/Core/Net/AutoUpdate.cs:23:32:23:66","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
926860,"call to method DeserializeObject<SortedDictionary<String,Int32>>","file:///tmp/GitClone/Core/Net/Repo.cs:360:50:362:33","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
944580,"call to method DeserializeObject<Registry>","file:///tmp/GitClone/Core/Registry/RegistryManager.cs:316:24:316:78","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
945667,"call to method DeserializeObject<ModuleTagList>","file:///tmp/GitClone/Core/Registry/Tags/ModuleTagList.cs:59:24:59:91","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
952876,"call to method DeserializeObject<SuppressedCompatWarningIdentifiers>","file:///tmp/GitClone/Core/SuppressedCompatWarningIdentifiers.cs:20:29:20:121","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
961569,"call to method DeserializeObject<ModuleInstallDescriptor>","file:///tmp/GitClone/Core/Types/ModuleInstallDescriptor.cs:124:20:124:79","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
966350,"call to method DeserializeObject<RepositoryList>","file:///tmp/GitClone/Core/Types/Repository.cs:72:24:74:17","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
967287,"call to method DeserializeObject<TimeLog>","file:///tmp/GitClone/Core/Types/TimeLog.cs:28:24:28:85","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
1108663,"call to method DeserializeObject<ModuleLabelList>","file:///tmp/GitClone/GUI/Labels/ModuleLabelList.cs:59:24:59:93","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
1128701,"call to method DeserializeObject<RepositoryList>","file:///tmp/GitClone/GUI/Main/MainRepo.cs:26:20:26:70","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
1170435,"call to method DeserializeObject<AvcVersion>","file:///tmp/GitClone/Netkan/Services/ModuleService.cs:302:28:302:74","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
1172416,"call to method DeserializeObject<CurseError>","file:///tmp/GitClone/Netkan/Sources/Curse/CurseApi.cs:38:25:38:71","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
1174045,"call to method DeserializeObject<CurseMod>","file:///tmp/GitClone/Netkan/Sources/Curse/CurseMod.cs:85:28:85:72","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
1174832,"call to method DeserializeObject<GithubRepo>","file:///tmp/GitClone/Netkan/Sources/Github/GithubApi.cs:55:20:57:13","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
1175038,"call to method DeserializeObject<List<GithubUser>>","file:///tmp/GitClone/Netkan/Sources/Github/GithubApi.cs:99:20:101:13","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
1177952,"call to method DeserializeObject<T>","file:///tmp/GitClone/Netkan/Sources/Jenkins/JenkinsApi.cs:58:20:58:62","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
1179377,"call to method DeserializeObject<SpacedockError>","file:///tmp/GitClone/Netkan/Sources/Spacedock/SpaceDockApi.cs:49:25:49:75","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
1179805,"call to method DeserializeObject<SpacedockMod>","file:///tmp/GitClone/Netkan/Sources/Spacedock/SpacedockMod.cs:58:20:58:68","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
1180226,"call to method DeserializeObject<AvcVersion>","file:///tmp/GitClone/Netkan/Transformers/AvcKrefTransformer.cs:41:40:44:17","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
1181013,"call to method DeserializeObject<AvcVersion>","file:///tmp/GitClone/Netkan/Transformers/AvcTransformer.cs:89:45:89:97","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
1233826,"call to method DeserializeObject<ModuleInstallDescriptor>","file:///tmp/GitClone/Tests/Core/Types/ModuleInstallDescriptorTests.cs:65:26:66:44","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
1233889,"call to method DeserializeObject<ModuleInstallDescriptor>","file:///tmp/GitClone/Tests/Core/Types/ModuleInstallDescriptorTests.cs:81:26:82:44","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
1236677,"call to method DeserializeObject","file:///tmp/GitClone/Tests/Core/Versioning/KspVersionJsonConverterTests.cs:44:30:44:93","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
1236723,"call to method DeserializeObject<TestPoco>","file:///tmp/GitClone/Tests/Core/Versioning/KspVersionJsonConverterTests.cs:54:26:54:70","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
1236832,"call to method DeserializeObject<TestPoco>","file:///tmp/GitClone/Tests/Core/Versioning/KspVersionJsonConverterTests.cs:64:38:64:82","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
1253435,"call to method DeserializeObject<AvcVersion>","file:///tmp/GitClone/Tests/NetKAN/AVC.cs:21:23:21:69","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
1253558,"call to method DeserializeObject<AvcVersion>","file:///tmp/GitClone/Tests/NetKAN/AVC.cs:33:23:33:69","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
