"ID of deserializeCall","deserializeCall","URL for deserializeCall","col1"
1744562,"call to method DeserializeObject<BitbucketApiResponse>","file:///tmp/GitClone/src/ScmBackup/Hosters/Bitbucket/BitbucketApi.cs:42:39:42:105","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
1748566,"call to method DeserializeObject<List<GitlabApiRepo>>","file:///tmp/GitClone/src/ScmBackup/Hosters/Gitlab/GitlabApi.cs:57:36:57:101","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
1748818,"call to method DeserializeObject<List<GitlabApiWiki>>","file:///tmp/GitClone/src/ScmBackup/Hosters/Gitlab/GitlabApi.cs:80:45:80:114","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
