"ID of deserializeCall","deserializeCall","URL for deserializeCall","col1"
2147214,"call to method DeserializeObject<EmissionsJsonFile>","file:///tmp/GitClone/src/CarbonAware.DataSources/CarbonAware.DataSources.Json/src/JsonDataSource.cs:103:26:103:79","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
2169076,"call to method DeserializeObject<EmissionsJsonFile>","file:///tmp/GitClone/src/CarbonAware.Plugins.BasicJsonPlugin/src/CarbonAwareBasicJsonDataService.cs:21:30:21:95","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
2172019,"call to method DeserializeObject<List<AwsRegionData>>","file:///tmp/GitClone/src/CarbonAware.Tools/CarbonAware.Tools.AWSRegionTestDataGenerator/AWSRegionTestDataGenerator.cs:26:26:26:93","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
2172906,"call to method DeserializeObject<List<AzureRegionData>>","file:///tmp/GitClone/src/CarbonAware.Tools/CarbonAware.Tools.AzureRegionTestDataGenerator/AzureRegionTestDataGenerator.cs:27:26:27:95","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
