"ID of deserializeCall","deserializeCall","URL for deserializeCall","col1"
15185974,"call to method DeserializeObject<Dictionary<TKey,TValue>>","file:///tmp/GitClone/src/Stl/Caching/FileSystemCache.cs:99:15:99:77","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
15187421,"call to method DeserializeObject<Dictionary<TKey,TValue>>","file:///tmp/GitClone/src/Stl/Caching/FileSystemCache.cs:99:15:99:77","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
15944052,"call to method DeserializeObject<PublicationStateInfo>","file:///tmp/GitClone/src/Stl.Fusion.Client/RestEase/Internal/FusionHttpMessageHandler.cs:40:19:40:79","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
