"ID of deserializeCall","deserializeCall","URL for deserializeCall","col1"
2693,"call to method DeserializeObject","file:///tmp/GitClone/src/TwitterMiner.cs:42:48:42:84","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
2885,"call to method DeserializeObject<T>","file:///tmp/GitClone/src/TwitterMiner.cs:75:20:75:57","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3347,"call to method DeserializeObject","file:///tmp/GitClone/src/TwitterMiner.cs:127:45:127:88","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3722,"call to method DeserializeObject","file:///tmp/GitClone/src/TwitterMiner.cs:192:45:192:88","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
