"ID of deserializeCall","deserializeCall","URL for deserializeCall","col1"
1974188,"call to method DeserializeObject<T>","file:///tmp/GitClone/src/MiNET/MiNET/CertificateData.cs:139:11:139:58","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
2711572,"call to method DeserializeObject<Itemstates>","file:///tmp/GitClone/src/MiNET/MiNET/PlayerAttributes.cs:78:11:78:57","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
2735239,"call to method DeserializeObject<List<Object>>","file:///tmp/GitClone/src/MiNET/MiNET/UI/CustomForm.cs:52:23:52:71","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
2736414,"call to method DeserializeObject<Nullable<Boolean>>","file:///tmp/GitClone/src/MiNET/MiNET/UI/ModalForm.cs:53:23:53:64","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
2736722,"call to method DeserializeObject<Nullable<Int32>>","file:///tmp/GitClone/src/MiNET/MiNET/UI/SimpleForm.cs:52:23:52:63","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
2737910,"call to method DeserializeObject<dynamic>","file:///tmp/GitClone/src/MiNET/MiNET/Utils/BlockPalette.cs:42:21:42:64","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
2784674,"call to method DeserializeObject<T>","file:///tmp/GitClone/src/MiNET/MiNET/Utils/ResourceUtil.cs:49:12:49:63","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
2792458,"call to method DeserializeObject<GeometryModel>","file:///tmp/GitClone/src/MiNET/MiNET/Utils/Skins/Skin.cs:167:11:167:70","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
2792770,"call to method DeserializeObject<SkinResourcePatch>","file:///tmp/GitClone/src/MiNET/MiNET/Utils/Skins/Skin.cs:215:14:215:77","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3023717,"call to method DeserializeObject<PlotConfig>","file:///tmp/GitClone/src/MiNET/MiNET.Plotter/PlotManager.cs:71:18:71:112","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3055007,"call to method DeserializeObject<GeometryModel>","file:///tmp/GitClone/src/MiNET/MiNET.Test/SkinTests.cs:63:34:63:93","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
3055228,"call to method DeserializeObject<GeometryModel>","file:///tmp/GitClone/src/MiNET/MiNET.Test/SkinTests.cs:83:34:83:93","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
