"ID of deserializeCall","deserializeCall","URL for deserializeCall","col1"
10419409,"call to method DeserializeObject<KeyManager>","file:///tmp/GitClone/WalletWasabi/Blockchain/Keys/KeyManager.cs:252:19:252:71","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
10442479,"call to method DeserializeObject<IEnumerable<SmartTransaction>>","file:///tmp/GitClone/WalletWasabi/Blockchain/Transactions/AllTransactionStore.cs:81:37:81:108","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
10558748,"call to method DeserializeObject<RuntimeParams>","file:///tmp/GitClone/WalletWasabi/Helpers/RuntimeParams.cs:85:23:85:78","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
10571543,"call to method DeserializeObject<ISet<String>>","file:///tmp/GitClone/WalletWasabi/JsonConverters/Collections/DefaultValueStringSetAttribute.cs:10:10:10:58","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
10585573,"call to method DeserializeObject<SerializableException>","file:///tmp/GitClone/WalletWasabi/Models/SerializableException.cs:51:10:51:67","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
10597560,"call to method DeserializeObject<JsonRpcRequest[]>","file:///tmp/GitClone/WalletWasabi/Rpc/JsonRpcRequest.cs:88:15:88:70","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
10633754,"call to method DeserializeObject<T>","file:///tmp/GitClone/WalletWasabi/Tor/Http/Extensions/HttpContentExtensions.cs:23:10:23:63","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
10635229,"call to method DeserializeObject<Error>","file:///tmp/GitClone/WalletWasabi/Tor/Http/Extensions/HttpResponseMessageExtensions.cs:81:16:85:5","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
10746867,"call to method DeserializeObject<TResponse>","file:///tmp/GitClone/WalletWasabi/WabiSabi/Client/WabiSabiHttpApiClient.cs:193:11:193:105","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
10890531,"call to method DeserializeObject<JObject>","file:///tmp/GitClone/WalletWasabi.Backend/Config.cs:125:19:125:68","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
10950241,"call to method DeserializeObject<JObject>","file:///tmp/GitClone/WalletWasabi.Fluent/Config.cs:237:19:237:68","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
11382502,"call to method DeserializeObject<AllFeeEstimate>","file:///tmp/GitClone/WalletWasabi.Tests/UnitTests/AllFeeEstimateTests.cs:30:22:30:78","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
11423538,"call to method DeserializeObject<UnblindedSignature>","file:///tmp/GitClone/WalletWasabi.Tests/UnitTests/Crypto/BlindingTests.cs:157:53:157:118","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
