"ID of deserializeCall","deserializeCall","URL for deserializeCall","col1"
5722,"call to method DeserializeObject<Token>","file:///tmp/GitClone/BBDN-REST-Demo-CSharp/bbdn/rest/Authorizer.cs:44:29:44:73","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
9362,"call to method DeserializeObject<Course>","file:///tmp/GitClone/BBDN-REST-Demo-CSharp/bbdn/rest/services/CourseService.cs:42:30:42:75","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
9491,"call to method DeserializeObject<Course>","file:///tmp/GitClone/BBDN-REST-Demo-CSharp/bbdn/rest/services/CourseService.cs:68:30:68:75","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
9721,"call to method DeserializeObject<Course>","file:///tmp/GitClone/BBDN-REST-Demo-CSharp/bbdn/rest/services/CourseService.cs:102:30:102:75","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
9849,"call to method DeserializeObject<Course>","file:///tmp/GitClone/BBDN-REST-Demo-CSharp/bbdn/rest/services/CourseService.cs:126:30:126:75","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
10351,"call to method DeserializeObject<Datasource>","file:///tmp/GitClone/BBDN-REST-Demo-CSharp/bbdn/rest/services/DatasourceService.cs:43:22:43:73","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
10478,"call to method DeserializeObject<Datasource>","file:///tmp/GitClone/BBDN-REST-Demo-CSharp/bbdn/rest/services/DatasourceService.cs:65:22:65:71","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
10692,"call to method DeserializeObject<Datasource>","file:///tmp/GitClone/BBDN-REST-Demo-CSharp/bbdn/rest/services/DatasourceService.cs:94:34:94:83","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
10819,"call to method DeserializeObject<Datasource>","file:///tmp/GitClone/BBDN-REST-Demo-CSharp/bbdn/rest/services/DatasourceService.cs:114:34:114:83","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
11350,"call to method DeserializeObject<Membership>","file:///tmp/GitClone/BBDN-REST-Demo-CSharp/bbdn/rest/services/MembershipService.cs:43:34:43:83","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
11477,"call to method DeserializeObject<Membership>","file:///tmp/GitClone/BBDN-REST-Demo-CSharp/bbdn/rest/services/MembershipService.cs:69:34:69:83","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
11691,"call to method DeserializeObject<Membership>","file:///tmp/GitClone/BBDN-REST-Demo-CSharp/bbdn/rest/services/MembershipService.cs:103:34:103:83","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
11818,"call to method DeserializeObject<Membership>","file:///tmp/GitClone/BBDN-REST-Demo-CSharp/bbdn/rest/services/MembershipService.cs:127:34:127:83","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
12373,"call to method DeserializeObject<Term>","file:///tmp/GitClone/BBDN-REST-Demo-CSharp/bbdn/rest/services/TermService.cs:42:28:42:71","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
12500,"call to method DeserializeObject<Term>","file:///tmp/GitClone/BBDN-REST-Demo-CSharp/bbdn/rest/services/TermService.cs:68:28:68:71","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
12714,"call to method DeserializeObject<Term>","file:///tmp/GitClone/BBDN-REST-Demo-CSharp/bbdn/rest/services/TermService.cs:102:28:102:71","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
12841,"call to method DeserializeObject<Term>","file:///tmp/GitClone/BBDN-REST-Demo-CSharp/bbdn/rest/services/TermService.cs:126:28:126:71","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
13341,"call to method DeserializeObject<User>","file:///tmp/GitClone/BBDN-REST-Demo-CSharp/bbdn/rest/services/UserService.cs:41:28:41:71","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
13468,"call to method DeserializeObject<User>","file:///tmp/GitClone/BBDN-REST-Demo-CSharp/bbdn/rest/services/UserService.cs:66:28:66:71","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
13690,"call to method DeserializeObject<User>","file:///tmp/GitClone/BBDN-REST-Demo-CSharp/bbdn/rest/services/UserService.cs:102:32:102:75","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
13817,"call to method DeserializeObject<User>","file:///tmp/GitClone/BBDN-REST-Demo-CSharp/bbdn/rest/services/UserService.cs:127:28:127:71","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
