"ID of deserializeCall","deserializeCall","URL for deserializeCall","col1"
987,"call to method Deserialize","file:///tmp/GitClone/Snake/Drawer.cs:79:33:79:50","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
997,"call to method Deserialize","file:///tmp/GitClone/Snake/Drawer.cs:83:33:83:50","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
1006,"call to method Deserialize","file:///tmp/GitClone/Snake/Drawer.cs:88:34:88:51","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
