"ID of deserializeCall","deserializeCall","URL for deserializeCall","col1"
9749901,"call to method DeserializeObject<JObject>","file:///tmp/GitClone/ADefHelpDeskApp/Classes/ConfigureWritable.cs:65:27:65:96","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
9749937,"call to method DeserializeObject<T>","file:///tmp/GitClone/ADefHelpDeskApp/Classes/ConfigureWritable.cs:67:17:67:68","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
9774632,"call to method DeserializeObject","file:///tmp/GitClone/ADefHelpDeskApp/Controllers/ExternalApi/UploadUpgraderController.cs:271:35:271:76","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
