"ID of deserializeCall","deserializeCall","URL for deserializeCall","col1"
5920,"call to method DeserializeObject<PlacementRequest>","file:///tmp/GitClone/Code/Bottleships/Bottleships/Communication/Client.cs:56:28:56:80","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
6146,"call to method DeserializeObject<ShotRequest>","file:///tmp/GitClone/Code/Bottleships/Bottleships/Communication/Client.cs:82:28:82:75","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
6264,"call to method DeserializeObject<IEnumerable<ShotResult>>","file:///tmp/GitClone/Code/Bottleships/Bottleships/Communication/Client.cs:97:28:97:87","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
6379,"call to method DeserializeObject<GameStartNotification>","file:///tmp/GitClone/Code/Bottleships/Bottleships/Communication/Client.cs:112:28:112:85","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
6513,"call to method DeserializeObject<GameEndNotification>","file:///tmp/GitClone/Code/Bottleships/Bottleships/Communication/Client.cs:136:28:136:83","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
6622,"call to method DeserializeObject<RoundEndNotification>","file:///tmp/GitClone/Code/Bottleships/Bottleships/Communication/Client.cs:153:28:153:84","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
6747,"call to method DeserializeObject<IEnumerable<HitNotification>>","file:///tmp/GitClone/Code/Bottleships/Bottleships/Communication/Client.cs:173:28:173:92","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
9210,"call to method DeserializeObject<IEnumerable<Placement>>","file:///tmp/GitClone/Code/Bottleships/Bottleships/Communication/RemoteCommander.cs:31:20:31:78","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
9266,"call to method DeserializeObject<IEnumerable<Shot>>","file:///tmp/GitClone/Code/Bottleships/Bottleships/Communication/RemoteCommander.cs:42:20:42:73","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
9821,"call to method DeserializeObject<ConnectedPlayer>","file:///tmp/GitClone/Code/Bottleships/Bottleships/Communication/Server.cs:56:28:56:79","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
