"ID of deserializeCall","deserializeCall","URL for deserializeCall","col1"
6272405,"call to method DeserializeObject<DatabaseConfiguration>","file:///tmp/GitClone/src/Ombi/Extensions/DatabaseExtensions.cs:82:33:82:98","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
6281348,"call to method DeserializeObject<OmbiSettings>","file:///tmp/GitClone/src/Ombi/Program.cs:211:32:211:103","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
6281825,"call to method DeserializeObject<OmbiSettings>","file:///tmp/GitClone/src/Ombi/Program.cs:301:32:301:103","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
6314690,"call to method DeserializeObject<T>","file:///tmp/GitClone/src/Ombi.Api/Api.cs:81:28:81:85","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
6330849,"call to method DeserializeObject<T>","file:///tmp/GitClone/src/Ombi.Api.Emby/EmbyApi.cs:199:20:199:61","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
6356652,"call to method DeserializeObject<T>","file:///tmp/GitClone/src/Ombi.Api.Jellyfin/JellyfinApi.cs:135:20:135:61","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
6392988,"call to method DeserializeObject<ReleaseGroupArt>","file:///tmp/GitClone/src/Ombi.Api.MusicBrainz/MusicBrainzApi.cs:64:24:64:96","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
6405760,"call to method DeserializeObject<OAuthErrorsContainer>","file:///tmp/GitClone/src/Ombi.Api.Plex/PlexApi.cs:223:30:223:113","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
6405795,"call to method DeserializeObject<OAuthPin>","file:///tmp/GitClone/src/Ombi.Api.Plex/PlexApi.cs:230:29:230:100","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
6419427,"call to method DeserializeObject<RadarrError>","file:///tmp/GitClone/src/Ombi.Api.Radarr/RadarrApi.cs:106:33:106:84","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
6419469,"call to method DeserializeObject<List<RadarrErrorResponse>>","file:///tmp/GitClone/src/Ombi.Api.Radarr/RadarrApi.cs:111:33:111:98","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
6419612,"call to method DeserializeObject<RadarrAddMovie>","file:///tmp/GitClone/src/Ombi.Api.Radarr/RadarrApi.cs:114:24:114:78","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
6421902,"call to method DeserializeObject<RadarrError>","file:///tmp/GitClone/src/Ombi.Api.Radarr/RadarrV3Api.cs:111:33:111:84","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
6421944,"call to method DeserializeObject<List<RadarrErrorResponse>>","file:///tmp/GitClone/src/Ombi.Api.Radarr/RadarrV3Api.cs:116:33:116:98","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
6421982,"call to method DeserializeObject<RadarrAddMovie>","file:///tmp/GitClone/src/Ombi.Api.Radarr/RadarrV3Api.cs:119:24:119:78","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
6730471,"call to method DeserializeObject<T>","file:///tmp/GitClone/src/Ombi.Helpers/ByteConverterHelper.cs:25:25:25:72","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
6734525,"call to method DeserializeObject<T[]>","file:///tmp/GitClone/src/Ombi.Helpers/JsonConvertHelper.cs:16:24:16:63","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
6734562,"call to method DeserializeObject<T>","file:///tmp/GitClone/src/Ombi.Helpers/JsonConvertHelper.cs:23:31:23:68","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
6950075,"call to method DeserializeObject<T>","file:///tmp/GitClone/src/Ombi.Settings/Settings/SettingsService.cs:39:23:39:99","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
6950473,"call to method DeserializeObject<T>","file:///tmp/GitClone/src/Ombi.Settings/Settings/SettingsService.cs:59:23:59:99","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
