"ID of deserializeCall","deserializeCall","URL for deserializeCall","col1"
4667201,"call to method Deserialize","file:///tmp/GitClone/src/FluentNHibernate/Utils/Extensions.cs:86:27:86:55","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
4667693,"call to method Deserialize","file:///tmp/GitClone/src/FluentNHibernate/Utils/Extensions.cs:86:27:86:55","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
5200678,"call to method Deserialize","file:///tmp/GitClone/src/FluentNHibernate.Testing/Cfg/ExceptionSerializationTests.cs:27:30:27:58","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
5200809,"call to method Deserialize","file:///tmp/GitClone/src/FluentNHibernate.Testing/Cfg/ExceptionSerializationTests.cs:46:26:46:54","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
