"ID of deserializeCall","deserializeCall","URL for deserializeCall","col1"
5354425,"call to method DeserializeObject<ResizingArgs>","file:///tmp/GitClone/src/TensorFlowNET.Keras/Layers/Preprocessing/Resizing.cs:34:24:34:85","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
5384461,"call to method DeserializeObject<KerasMetaData>","file:///tmp/GitClone/src/TensorFlowNET.Keras/Saving/KerasObjectLoader.cs:52:28:52:86","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
5385033,"call to method DeserializeObject<KerasMetaData>","file:///tmp/GitClone/src/TensorFlowNET.Keras/Saving/KerasObjectLoader.cs:155:32:155:90","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
