"ID of deserializeCall","deserializeCall","URL for deserializeCall","col1"
108646,"call to method DeserializeObject<List<RootObject>>","file:///tmp/GitClone/TwitterConnector/TwitterConnector/TwitterApi.cs:115:15:115:74","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
109135,"call to method DeserializeObject<List<RootObject>>","file:///tmp/GitClone/TwitterConnector/TwitterConnector/TwitterApi.cs:198:15:198:74","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
109603,"call to method DeserializeObject<List<RootObject>>","file:///tmp/GitClone/TwitterConnector/TwitterConnector/TwitterApi.cs:279:15:279:74","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
110084,"call to method DeserializeObject<RootObject>","file:///tmp/GitClone/TwitterConnector/TwitterConnector/TwitterApi.cs:363:15:363:68","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
