"ID of deserializeCall","deserializeCall","URL for deserializeCall","col1"
2283890,"call to method DeserializeObject","file:///tmp/GitClone/tests/Rules.Framework.IntegrationTests/JsonContentSerializer.cs:11:20:11:84","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
2285222,"call to method DeserializeObject<IEnumerable<RuleDataModel>>","file:///tmp/GitClone/tests/Rules.Framework.IntegrationTests/RulesFromJsonFile.cs:29:82:29:148","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
2306613,"call to method DeserializeObject","file:///tmp/GitClone/tests/Rules.Framework.Providers.InMemory.IntegrationTests/Tests/BaseScenarioTests.cs:69:46:72:18","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
2310251,"call to method DeserializeObject<SecuritySystemAction>","file:///tmp/GitClone/tests/Rules.Framework.Providers.InMemory.IntegrationTests/Tests/Scenario3/BuildingSecuritySystemControlTests.cs:26:24:26:85","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
2328764,"call to method DeserializeObject<IEnumerable<RuleDataModel>>","file:///tmp/GitClone/tests/Rules.Framework.Providers.MongoDb.IntegrationTests/Tests/Scenario2/CarInsuranceAdvisorTests.cs:44:52:47:18","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
2331400,"call to method DeserializeObject<IEnumerable<RuleDataModel>>","file:///tmp/GitClone/tests/Rules.Framework.Providers.MongoDb.IntegrationTests/Tests/Scenario3/BuildingSecuritySystemControlTests.cs:37:52:40:18","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
