"ID of deserializeCall","deserializeCall","URL for deserializeCall","col1"
925773,"call to method DeserializeObject<TResponse>","file:///tmp/GitClone/src/ZonyLrcTools.Common/Infrastructure/Network/DefaultWarpHttpClient.cs:140:35:140:90","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
937069,"call to method DeserializeObject<GetLyricResponse>","file:///tmp/GitClone/src/ZonyLrcTools.Common/Lyrics/Providers/NetEase/NetEaseLyricsProvider.cs:61:24:61:97","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
942378,"call to method DeserializeObject<Dictionary<String,String>>","file:///tmp/GitClone/src/ZonyLrcTools.Common/TagInfo/BlockWordDictionary.cs:25:24:25:90","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
