"ID of expr1","expr1","URL for expr1","msg"
56903,"... == ...","file:///tmp/GitClone/src/symbols.c:40:4:40:46","Return value of strcpy used in a logical operation."
58517,"... == ...","file:///tmp/GitClone/src/tags.c:50:17:50:56","Return value of strcpy used in a logical operation."
