"ID of expr1","expr1","URL for expr1","msg"
115093,"... != ...","file:///tmp/GitClone/systemChess/tests/chessSystemTestsExample.c:132:5:132:52","Return value of strncpy used in a logical operation."
115159,"... != ...","file:///tmp/GitClone/systemChess/tests/chessSystemTestsExample.c:133:5:133:81","Return value of strncpy used in a logical operation."
