"ID of col0","col0","URL for col0","ID of source","source","URL for source","ID of sink","sink","URL for sink","col3","ID of col4","col4","URL for col4","col5"
235260,"parseObject(...)","file:///tmp/GitClone/KCenter-Base/src/main/java/org/nesc/ec/bigdata/common/util/ElasticsearchUtil.java:100:24:100:78",105,"getContent(...)","file:///tmp/GitClone/KCenter-Base/src/main/java/org/nesc/ec/bigdata/common/util/ElasticsearchUtil.java:100:41:100:59",105,"getContent(...)","file:///tmp/GitClone/KCenter-Base/src/main/java/org/nesc/ec/bigdata/common/util/ElasticsearchUtil.java:100:41:100:59","Unsafe deserialization of $@.",1662,"getContent(...)","file:///tmp/GitClone/KCenter-Base/src/main/java/org/nesc/ec/bigdata/common/util/ElasticsearchUtil.java:100:41:100:59","user input"
282142,"parseObject(...)","file:///tmp/GitClone/KCenter-Core/src/main/java/org/nesc/ec/bigdata/controller/LoginController.java:83:35:83:56",12,"body : String","file:///tmp/GitClone/KCenter-Core/src/main/java/org/nesc/ec/bigdata/controller/LoginController.java:80:52:80:75",106,"body","file:///tmp/GitClone/KCenter-Core/src/main/java/org/nesc/ec/bigdata/controller/LoginController.java:83:52:83:55","Unsafe deserialization of $@.",61466,"body","file:///tmp/GitClone/KCenter-Core/src/main/java/org/nesc/ec/bigdata/controller/LoginController.java:80:52:80:75","user input"
324305,"parseObject(...)","file:///tmp/GitClone/KCenter-Core/src/main/java/org/nesc/ec/bigdata/security/auth/GenericOauthService.java:80:16:80:61",1,"postForEntity(...) : ResponseEntity","file:///tmp/GitClone/KCenter-Core/src/main/java/org/nesc/ec/bigdata/security/auth/GenericOauthService.java:79:24:79:109",107,"body","file:///tmp/GitClone/KCenter-Core/src/main/java/org/nesc/ec/bigdata/security/auth/GenericOauthService.java:80:39:80:42","Unsafe deserialization of $@.",20581,"postForEntity(...)","file:///tmp/GitClone/KCenter-Core/src/main/java/org/nesc/ec/bigdata/security/auth/GenericOauthService.java:79:24:79:109","user input"
327926,"parseObject(...)","file:///tmp/GitClone/KCenter-Core/src/main/java/org/nesc/ec/bigdata/service/AlertaService.java:154:34:154:99",2,"postForEntity(...) : ResponseEntity","file:///tmp/GitClone/KCenter-Core/src/main/java/org/nesc/ec/bigdata/service/AlertaService.java:153:47:153:133",108,"requireNonNull(...)","file:///tmp/GitClone/KCenter-Core/src/main/java/org/nesc/ec/bigdata/service/AlertaService.java:154:57:154:98","Unsafe deserialization of $@.",21657,"postForEntity(...)","file:///tmp/GitClone/KCenter-Core/src/main/java/org/nesc/ec/bigdata/service/AlertaService.java:153:47:153:133","user input"
331001,"parseObject(...)","file:///tmp/GitClone/KCenter-Core/src/main/java/org/nesc/ec/bigdata/service/ConnectClusterService.java:48:32:48:53",3,"exchange(...) : ResponseEntity","file:///tmp/GitClone/KCenter-Core/src/main/java/org/nesc/ec/bigdata/service/RestService.java:68:20:68:88",109,"body","file:///tmp/GitClone/KCenter-Core/src/main/java/org/nesc/ec/bigdata/service/ConnectClusterService.java:48:49:48:52","Unsafe deserialization of $@.",34145,"exchange(...)","file:///tmp/GitClone/KCenter-Core/src/main/java/org/nesc/ec/bigdata/service/RestService.java:68:20:68:88","user input"
331001,"parseObject(...)","file:///tmp/GitClone/KCenter-Core/src/main/java/org/nesc/ec/bigdata/service/ConnectClusterService.java:48:32:48:53",4,"exchange(...) : ResponseEntity","file:///tmp/GitClone/KCenter-Core/src/main/java/org/nesc/ec/bigdata/service/RestService.java:70:20:70:81",109,"body","file:///tmp/GitClone/KCenter-Core/src/main/java/org/nesc/ec/bigdata/service/ConnectClusterService.java:48:49:48:52","Unsafe deserialization of $@.",34155,"exchange(...)","file:///tmp/GitClone/KCenter-Core/src/main/java/org/nesc/ec/bigdata/service/RestService.java:70:20:70:81","user input"
331371,"parseObject(...)","file:///tmp/GitClone/KCenter-Core/src/main/java/org/nesc/ec/bigdata/service/ConnectClusterService.java:84:29:84:70",7,"connectorVo : ConnectorVo","file:///tmp/GitClone/KCenter-Core/src/main/java/org/nesc/ec/bigdata/controller/ConnectorJobController.java:135:46:135:81",110,"getScript(...)","file:///tmp/GitClone/KCenter-Core/src/main/java/org/nesc/ec/bigdata/service/ConnectClusterService.java:84:46:84:69","Unsafe deserialization of $@.",61383,"connectorVo","file:///tmp/GitClone/KCenter-Core/src/main/java/org/nesc/ec/bigdata/controller/ConnectorJobController.java:135:46:135:81","user input"
331445,"parseObject(...)","file:///tmp/GitClone/KCenter-Core/src/main/java/org/nesc/ec/bigdata/service/ConnectClusterService.java:88:36:88:59",5,"exchange(...) : ResponseEntity","file:///tmp/GitClone/KCenter-Core/src/main/java/org/nesc/ec/bigdata/service/RestService.java:86:18:86:86",111,"result","file:///tmp/GitClone/KCenter-Core/src/main/java/org/nesc/ec/bigdata/service/ConnectClusterService.java:88:53:88:58","Unsafe deserialization of $@.",34206,"exchange(...)","file:///tmp/GitClone/KCenter-Core/src/main/java/org/nesc/ec/bigdata/service/RestService.java:86:18:86:86","user input"
331710,"parseObject(...)","file:///tmp/GitClone/KCenter-Core/src/main/java/org/nesc/ec/bigdata/service/ConnectClusterService.java:123:29:123:60",3,"exchange(...) : ResponseEntity","file:///tmp/GitClone/KCenter-Core/src/main/java/org/nesc/ec/bigdata/service/RestService.java:68:20:68:88",112,"responseStatus","file:///tmp/GitClone/KCenter-Core/src/main/java/org/nesc/ec/bigdata/service/ConnectClusterService.java:123:46:123:59","Unsafe deserialization of $@.",34145,"exchange(...)","file:///tmp/GitClone/KCenter-Core/src/main/java/org/nesc/ec/bigdata/service/RestService.java:68:20:68:88","user input"
331710,"parseObject(...)","file:///tmp/GitClone/KCenter-Core/src/main/java/org/nesc/ec/bigdata/service/ConnectClusterService.java:123:29:123:60",4,"exchange(...) : ResponseEntity","file:///tmp/GitClone/KCenter-Core/src/main/java/org/nesc/ec/bigdata/service/RestService.java:70:20:70:81",112,"responseStatus","file:///tmp/GitClone/KCenter-Core/src/main/java/org/nesc/ec/bigdata/service/ConnectClusterService.java:123:46:123:59","Unsafe deserialization of $@.",34155,"exchange(...)","file:///tmp/GitClone/KCenter-Core/src/main/java/org/nesc/ec/bigdata/service/RestService.java:70:20:70:81","user input"
