"ID of col0","col0","URL for col0","ID of source","source","URL for source","ID of sink","sink","URL for sink","col3","ID of col4","col4","URL for col4","col5"
195095,"readObject(...)","file:///tmp/GitClone/src/main/java/org/joychou/controller/Deserialize.java:52:9:52:23",0,"getValue(...) : String","file:///tmp/GitClone/src/main/java/org/joychou/controller/Deserialize.java:47:29:47:45",54,"in","file:///tmp/GitClone/src/main/java/org/joychou/controller/Deserialize.java:52:9:52:10","Unsafe deserialization of $@.",1082,"getValue(...)","file:///tmp/GitClone/src/main/java/org/joychou/controller/Deserialize.java:47:29:47:45","user input"
195219,"readObject(...)","file:///tmp/GitClone/src/main/java/org/joychou/controller/Deserialize.java:79:13:79:27",1,"getValue(...) : String","file:///tmp/GitClone/src/main/java/org/joychou/controller/Deserialize.java:72:29:72:45",55,"in","file:///tmp/GitClone/src/main/java/org/joychou/controller/Deserialize.java:79:13:79:14","Unsafe deserialization of $@.",1119,"getValue(...)","file:///tmp/GitClone/src/main/java/org/joychou/controller/Deserialize.java:72:29:72:45","user input"
195338,"parseObject(...)","file:///tmp/GitClone/src/main/java/org/joychou/controller/Fastjson.java:23:29:23:52",3,"params : String","file:///tmp/GitClone/src/main/java/org/joychou/controller/Fastjson.java:19:31:19:56",56,"params","file:///tmp/GitClone/src/main/java/org/joychou/controller/Fastjson.java:23:46:23:51","Unsafe deserialization of $@.",23454,"params","file:///tmp/GitClone/src/main/java/org/joychou/controller/Fastjson.java:19:31:19:56","user input"
198306,"load(...)","file:///tmp/GitClone/src/main/java/org/joychou/controller/Rce.java:112:9:112:23",4,"content : String","file:///tmp/GitClone/src/main/java/org/joychou/controller/Rce.java:110:22:110:35",57,"content","file:///tmp/GitClone/src/main/java/org/joychou/controller/Rce.java:112:16:112:22","Unsafe deserialization of $@.",23472,"content","file:///tmp/GitClone/src/main/java/org/joychou/controller/Rce.java:110:22:110:35","user input"
202067,"fromXML(...)","file:///tmp/GitClone/src/main/java/org/joychou/controller/XStreamRce.java:27:9:27:28",2,"getInputStream(...) : ServletInputStream","file:///tmp/GitClone/src/main/java/org/joychou/util/WebUtils.java:16:26:16:49",58,"xml","file:///tmp/GitClone/src/main/java/org/joychou/controller/XStreamRce.java:27:25:27:27","Unsafe deserialization of $@.",5747,"getInputStream(...)","file:///tmp/GitClone/src/main/java/org/joychou/util/WebUtils.java:16:26:16:49","user input"
