"ID of sink","sink","URL for sink","ID of source","source","URL for source","ID of sink","sink","URL for sink","col3","ID of regexp","regexp","URL for regexp","col5","ID of col6","col6","URL for col6","col7"
251,"fileName","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:992:60:992:67",0,"format : String","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:676:13:676:45",251,"fileName","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:992:60:992:67","This $@ that depends on $@ may run slow on strings starting with '${' and with many repetitions of '${!'.",116,"\S+","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:220:77:220:80","regular expression",124131,"format","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:676:13:676:45","a user-provided value"
251,"fileName","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:992:60:992:67",1,"requestData : String","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:677:13:677:49",251,"fileName","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:992:60:992:67","This $@ that depends on $@ may run slow on strings starting with '${' and with many repetitions of '${!'.",116,"\S+","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:220:77:220:80","regular expression",124132,"requestData","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:677:13:677:49","a user-provided value"
251,"fileName","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:992:60:992:67",2,"appId : String","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:597:13:597:44",251,"fileName","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:992:60:992:67","This $@ that depends on $@ may run slow on strings starting with '${' and with many repetitions of '${!'.",116,"\S+","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:220:77:220:80","regular expression",124136,"appId","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:597:13:597:44","a user-provided value"
251,"fileName","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:992:60:992:67",3,"format : String","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:598:13:598:45",251,"fileName","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:992:60:992:67","This $@ that depends on $@ may run slow on strings starting with '${' and with many repetitions of '${!'.",116,"\S+","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:220:77:220:80","regular expression",124137,"format","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:598:13:598:45","a user-provided value"
251,"fileName","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:992:60:992:67",4,"requestData : String","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:599:13:599:49",251,"fileName","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:992:60:992:67","This $@ that depends on $@ may run slow on strings starting with '${' and with many repetitions of '${!'.",116,"\S+","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:220:77:220:80","regular expression",124138,"requestData","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:599:13:599:49","a user-provided value"
252,"fileName","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:997:56:997:63",0,"format : String","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:676:13:676:45",252,"fileName","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:997:56:997:63","This $@ that depends on $@ may run slow on strings starting with '${' and with many repetitions of '${!'.",116,"\S+","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:220:77:220:80","regular expression",124131,"format","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:676:13:676:45","a user-provided value"
252,"fileName","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:997:56:997:63",1,"requestData : String","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:677:13:677:49",252,"fileName","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:997:56:997:63","This $@ that depends on $@ may run slow on strings starting with '${' and with many repetitions of '${!'.",116,"\S+","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:220:77:220:80","regular expression",124132,"requestData","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:677:13:677:49","a user-provided value"
252,"fileName","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:997:56:997:63",2,"appId : String","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:597:13:597:44",252,"fileName","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:997:56:997:63","This $@ that depends on $@ may run slow on strings starting with '${' and with many repetitions of '${!'.",116,"\S+","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:220:77:220:80","regular expression",124136,"appId","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:597:13:597:44","a user-provided value"
252,"fileName","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:997:56:997:63",3,"format : String","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:598:13:598:45",252,"fileName","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:997:56:997:63","This $@ that depends on $@ may run slow on strings starting with '${' and with many repetitions of '${!'.",116,"\S+","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:220:77:220:80","regular expression",124137,"format","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:598:13:598:45","a user-provided value"
252,"fileName","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:997:56:997:63",4,"requestData : String","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:599:13:599:49",252,"fileName","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:997:56:997:63","This $@ that depends on $@ may run slow on strings starting with '${' and with many repetitions of '${!'.",116,"\S+","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:220:77:220:80","regular expression",124138,"requestData","file:///tmp/GitClone/core/src/main/java/org/mapfish/print/servlet/MapPrinterServlet.java:599:13:599:49","a user-provided value"
