"ID of bw","bw","URL for bw","col1"
328742,"szVersion","file:///tmp/GitClone/Comet.cpp:240:59:240:67","This 'sscanf string argument' operation requires 129 bytes but the destination is only 128 bytes."
328747,"szRev1","file:///tmp/GitClone/Comet.cpp:240:70:240:75","This 'sscanf string argument' operation requires 13 bytes but the destination is only 12 bytes."
328752,"szRev2","file:///tmp/GitClone/Comet.cpp:240:78:240:83","This 'sscanf string argument' operation requires 13 bytes but the destination is only 12 bytes."
329398,"szParamName","file:///tmp/GitClone/Comet.cpp:283:41:283:51","This 'sscanf string argument' operation requires 129 bytes but the destination is only 128 bytes."
330331,"szDecoyPrefix","file:///tmp/GitClone/Comet.cpp:355:44:355:56","This 'sscanf string argument' operation requires 257 bytes but the destination is only 256 bytes."
330468,"szOutputSuffix","file:///tmp/GitClone/Comet.cpp:363:44:363:57","This 'sscanf string argument' operation requires 257 bytes but the destination is only 256 bytes."
333148,"szVarModChar","file:///tmp/GitClone/Comet.cpp:507:35:507:46","This 'sscanf string argument' operation requires 21 bytes but the destination is only 20 bytes."
343601,"szActivationMethod","file:///tmp/GitClone/Comet.cpp:1038:43:1038:60","This 'sscanf string argument' operation requires 25 bytes but the destination is only 24 bytes."
347736,"szTmp","file:///tmp/GitClone/Comet.cpp:118:37:118:41","This 'sscanf string argument' operation requires 513 bytes but the destination is only 512 bytes."
347881,"szTmp","file:///tmp/GitClone/Comet.cpp:127:37:127:41","This 'sscanf string argument' operation requires 513 bytes but the destination is only 512 bytes."
347968,"szTmp","file:///tmp/GitClone/Comet.cpp:133:37:133:41","This 'sscanf string argument' operation requires 513 bytes but the destination is only 512 bytes."
348055,"szTmp","file:///tmp/GitClone/Comet.cpp:139:37:139:41","This 'sscanf string argument' operation requires 513 bytes but the destination is only 512 bytes."
348298,"szTmp","file:///tmp/GitClone/Comet.cpp:153:37:153:41","This 'sscanf string argument' operation requires 513 bytes but the destination is only 512 bytes."
348539,"szTmp","file:///tmp/GitClone/Comet.cpp:167:37:167:41","This 'sscanf string argument' operation requires 513 bytes but the destination is only 512 bytes."
712287,"szTmp","file:///tmp/GitClone/CometSearch/CometSearch.cpp:752:49:752:53","This 'sscanf string argument' operation requires 17 bytes but the destination is only 16 bytes."
