"ID of bw","bw","URL for bw","col1"
10338,"call to strcpy","file:///tmp/GitClone/test1.c:23:2:23:7","This 'call to strcpy' operation requires 11 bytes but the destination is only 10 bytes."
10568,"call to strcpy","file:///tmp/GitClone/test10.c:25:2:25:7","This 'call to strcpy' operation requires 11 bytes but the destination is only 10 bytes."
10667,"call to strcpy","file:///tmp/GitClone/test10.c:31:2:31:7","This 'call to strcpy' operation requires 11 bytes but the destination is only 10 bytes."
10763,"call to strcpy","file:///tmp/GitClone/test10.c:37:2:37:7","This 'call to strcpy' operation requires 11 bytes but the destination is only 10 bytes."
11009,"call to strcpy","file:///tmp/GitClone/test2.c:23:2:23:7","This 'call to strcpy' operation requires 11 bytes but the destination is only 10 bytes."
11108,"call to strcpy","file:///tmp/GitClone/test2.c:29:2:29:7","This 'call to strcpy' operation requires 11 bytes but the destination is only 10 bytes."
11469,"call to strcpy","file:///tmp/GitClone/test4.c:23:2:23:7","This 'call to strcpy' operation requires 11 bytes but the destination is only 10 bytes."
11568,"call to strcpy","file:///tmp/GitClone/test4.c:29:2:29:7","This 'call to strcpy' operation requires 11 bytes but the destination is only 10 bytes."
11664,"call to strcpy","file:///tmp/GitClone/test4.c:35:2:35:7","This 'call to strcpy' operation requires 11 bytes but the destination is only 10 bytes."
12011,"call to strcpy","file:///tmp/GitClone/test6.c:27:2:27:7","This 'call to strcpy' operation requires 11 bytes but the destination is only 10 bytes."
12110,"call to strcpy","file:///tmp/GitClone/test6.c:33:2:33:7","This 'call to strcpy' operation requires 11 bytes but the destination is only 10 bytes."
12206,"call to strcpy","file:///tmp/GitClone/test6.c:39:2:39:7","This 'call to strcpy' operation requires 11 bytes but the destination is only 10 bytes."
12829,"call to strcpy","file:///tmp/GitClone/test8.c:27:2:27:7","This 'call to strcpy' operation requires 11 bytes but the destination is only 10 bytes."
12928,"call to strcpy","file:///tmp/GitClone/test8.c:33:2:33:7","This 'call to strcpy' operation requires 11 bytes but the destination is only 10 bytes."
13024,"call to strcpy","file:///tmp/GitClone/test8.c:39:2:39:7","This 'call to strcpy' operation requires 11 bytes but the destination is only 10 bytes."
13385,"call to strcpy","file:///tmp/GitClone/test9.c:27:2:27:7","This 'call to strcpy' operation requires 11 bytes but the destination is only 10 bytes."
13484,"call to strcpy","file:///tmp/GitClone/test9.c:33:2:33:7","This 'call to strcpy' operation requires 11 bytes but the destination is only 10 bytes."
13580,"call to strcpy","file:///tmp/GitClone/test9.c:39:2:39:7","This 'call to strcpy' operation requires 11 bytes but the destination is only 10 bytes."
