"ID of bw","bw","URL for bw","col1"
6248,"insNasc","file:///tmp/GitClone/CRUD2/dependente.c:159:23:159:29","This 'scanf string argument' operation requires 11 bytes but the destination is only 10 bytes."
6507,"insNasc","file:///tmp/GitClone/CRUD2/dependente.c:139:23:139:29","This 'scanf string argument' operation requires 11 bytes but the destination is only 10 bytes."
