"ID of call","call","URL for call","col1"
25771,"call to memset","file:///tmp/GitClone/src/aes.c:389:2:389:7","Call to memset may be deleted by the compiler."
26239,"call to memset","file:///tmp/GitClone/src/aes.c:365:2:365:7","Call to memset may be deleted by the compiler."
27037,"call to memset","file:///tmp/GitClone/src/aes.c:307:2:307:7","Call to memset may be deleted by the compiler."
27606,"call to memset","file:///tmp/GitClone/src/aes.c:272:2:272:7","Call to memset may be deleted by the compiler."
180671,"call to memset","file:///tmp/GitClone/src/rc4.c:86:2:86:7","Call to memset may be deleted by the compiler."
